class_id	p_value	class_label	p_value_adjusted	false_discovery_rate	fold_enrichment	sample_count	sample_total	background_count	background_total
GO:0008017	2.2095409877274044e-79	microtubule binding	9.50102624722784e-77	None	None	30	30	30	5057
GO:0015631	1.205525562908926e-75	tubulin binding	5.183759920508382e-73	None	None	30	30	33	5057
GO:0008092	1.9601749614812995e-57	cytoskeletal protein binding	8.428752334369588e-55	None	None	30	30	80	5057
GO:0007017	2.979430149959624e-39	microtubule-based process	1.2811549644826382e-36	None	None	24	30	84	5057
GO:0005874	2.310917915446197e-37	microtubule	9.936947036418647e-35	None	None	19	30	33	5057
GO:0099513	4.9463593284893823e-36	polymeric cytoskeletal fiber	2.1269345112504343e-33	None	None	19	30	37	5057
GO:0099512	3.651541005532657e-35	supramolecular fiber	1.5701626323790425e-32	None	None	19	30	40	5057
GO:0099081	3.651541005532657e-35	supramolecular polymer	1.5701626323790425e-32	None	None	19	30	40	5057
GO:0099080	6.92734398251104e-33	supramolecular complex	2.978757912479747e-30	None	None	24	30	145	5057
GO:0007018	1.3161963345199127e-32	microtubule-based movement	5.659644238435625e-30	None	None	18	30	40	5057
GO:0005881	2.7450908619748358e-30	cytoplasmic microtubule	1.1803890706491794e-27	None	None	15	30	23	5057
GO:0051010	3.985379007438076e-26	microtubule plus-end binding	1.7137129731983726e-23	None	None	11	30	11	5057
GO:0008608	2.2943301166706657e-25	attachment of spindle microtubules to kinetochore	9.865619501683863e-23	None	None	16	30	53	5057
GO:0000226	2.3130312729981763e-23	microtubule cytoskeleton organization	9.946034473892158e-21	None	None	15	30	52	5057
GO:1903047	6.759191489013925e-23	mitotic cell cycle process	2.906452340275988e-20	None	None	24	30	363	5057
GO:0051315	8.776946867229509e-23	attachment of mitotic spindle microtubules to kinetochore	3.774087152908689e-20	None	None	14	30	42	5057
GO:0005876	9.388693065596303e-23	spindle microtubule	4.03713801820641e-20	None	None	12	30	22	5057
GO:0051305	1.1022960527666204e-22	chromosome movement towards spindle pole	4.7398730268964677e-20	None	None	10	30	11	5057
GO:1902850	1.9888627999277172e-20	microtubule cytoskeleton organization involved in mitosis	8.552110039689184e-18	None	None	12	30	31	5057
GO:0000776	2.0988713358978605e-20	kinetochore	9.0251467443608e-18	None	None	14	30	59	5057
GO:0005515	1.178228512458974e-19	protein binding	5.066382603573588e-17	None	None	30	30	1194	5057
GO:0050000	1.7350776664574287e-19	chromosome localization	7.460833965766943e-17	None	None	12	30	36	5057
GO:0022402	2.473876148898506e-19	cell cycle process	1.0637667440263575e-16	None	None	24	30	510	5057
GO:0007052	4.916125081967964e-19	mitotic spindle organization	2.1139337852462244e-16	None	None	11	30	27	5057
GO:0003777	5.259055449009614e-19	microtubule motor activity	2.261393843074134e-16	None	None	9	30	12	5057
GO:0051640	6.076348787526294e-19	organelle localization	2.6128299786363064e-16	None	None	16	30	123	5057
GO:0015630	1.2955269402624615e-18	microtubule cytoskeleton	5.570765843128585e-16	None	None	11	30	29	5057
GO:0005815	1.4200815555637869e-18	microtubule organizing center	6.106350688924283e-16	None	None	17	30	162	5057
GO:0007051	2.0384882091626704e-18	spindle organization	8.765499299399483e-16	None	None	11	30	30	5057
GO:0098653	4.749953618228543e-18	centromere clustering	2.042480055838273e-15	None	None	9	30	14	5057
GO:0035371	4.749953618228543e-18	microtubule plus-end	2.042480055838273e-15	None	None	9	30	14	5057
GO:1990752	4.749953618228543e-18	microtubule end	2.042480055838273e-15	None	None	9	30	14	5057
GO:0072765	4.749953618228543e-18	centromere localization	2.042480055838273e-15	None	None	9	30	14	5057
GO:1990571	4.974080772108773e-18	meiotic centromere clustering	2.1388547320067726e-15	None	None	8	30	9	5057
