#Gene systematic ID	dummy1	dummy2	FYPO ID
SPCC338.10c			FYPO:0000245
SPCC338.10c			FYPO:0002060
SPCC338.10c			FYPO:0002177
SPAC14C4.13			FYPO:0000963
SPAC14C4.13			FYPO:0000957
SPBC649.05			FYPO:0001645
SPBC29A10.15			FYPO:0001355
SPBC29A10.15			FYPO:0000614
SPBC29A10.15			FYPO:0001038
SPBC29A10.15			FYPO:0004255
SPBC29A10.15			FYPO:0002061
SPBC29A10.15			FYPO:0000963
SPBC29A10.15			FYPO:0000088
SPBC29A10.15			FYPO:0001492
SPBC36.01c			FYPO:0002060
SPBC36.01c			FYPO:0002177
SPAC824.02			FYPO:0002399
SPAC824.02			FYPO:0001407
SPAC824.02			FYPO:0000708
SPAC824.02			FYPO:0000245
SPAC824.02			FYPO:0002401
SPAC824.02			FYPO:0000093
SPAC824.02			FYPO:0006931
SPAC824.02			FYPO:0000097
SPAC824.02			FYPO:0000085
SPAC824.02			FYPO:0000087
SPAC824.02			FYPO:0000088
SPAC824.02			FYPO:0000111
SPAC824.02			FYPO:0002060
SPAC824.02			FYPO:0001510
SPCC613.04c			FYPO:0000161
SPCC613.04c			FYPO:0007127
SPCC613.04c			FYPO:0002998
SPCC613.04c			FYPO:0001008
SPCC613.04c			FYPO:0004044
SPCC613.04c			FYPO:0002061
SPCC613.04c			FYPO:0001368
SPCC613.04c			FYPO:0002559
SPCC613.04c			FYPO:0002060
SPAC4D7.05			FYPO:0002151
SPAC4D7.05			FYPO:0002061
SPAC4D7.05			FYPO:0001486
SPCC1672.02c			FYPO:0000658
SPBC3B9.07c			FYPO:0002061
SPAC1687.11			FYPO:0000311
SPAC1687.11			FYPO:0002151
SPAC1687.11			FYPO:0002061
SPCC18B5.11c			FYPO:0000963
SPBC839.17c			FYPO:0000708
SPBC839.17c			FYPO:0004949
SPBC839.17c			FYPO:0006518
SPBC839.17c			FYPO:0000245
SPBC839.17c			FYPO:0001000
SPBC839.17c			FYPO:0007553
SPBC839.17c			FYPO:0001420
SPBC839.17c			FYPO:0000073
SPBC839.17c			FYPO:0001501
SPBC839.17c			FYPO:0003110
SPBC839.17c			FYPO:0001492
SPBC839.17c			FYPO:0002060
SPBC839.17c			FYPO:0002177
SPBC119.09c			FYPO:0000311
SPBC119.09c			FYPO:0002061
SPCC613.01			FYPO:0003412
SPAC22F8.11			FYPO:0000121
SPAC22F8.11			FYPO:0000082
SPAC22F8.11			FYPO:0000708
SPAC22F8.11			FYPO:0001355
SPAC22F8.11			FYPO:0002061
SPAC22F8.11			FYPO:0006014
SPAC22F8.11			FYPO:0000064
SPAC22F8.11			FYPO:0001098
SPAC22F8.11			FYPO:0000084
SPAC22F8.11			FYPO:0001701
SPAC22F8.11			FYPO:0000096
SPAC22F8.11			FYPO:0002060
SPAC22F8.11			FYPO:0001510
SPBC1778.02			FYPO:0000703
SPBC1778.02			FYPO:0002687
SPCC16C4.01			FYPO:0000245
SPCC16C4.01			FYPO:0001457
SPCC16C4.01			FYPO:0002060
SPCC16C4.01			FYPO:0002177
SPAC17A2.10c			FYPO:0002019
SPAC17A2.10c			FYPO:0004806
SPAC17A2.10c			FYPO:0000245
SPAC17A2.10c			FYPO:0002060
SPAC17A2.10c			FYPO:0002177
SPBC3H7.14			FYPO:0000245
SPBC3H7.14			FYPO:0006930
SPBC3H7.14			FYPO:0002060
SPBC3H7.14			FYPO:0002177
SPBP8B7.29			FYPO:0000311
SPBP8B7.29			FYPO:0002151
SPBP8B7.29			FYPO:0002061
SPCC757.09c			FYPO:0002033
SPCC306.03c			FYPO:0000214
SPCC306.03c			FYPO:0002061
SPCC306.03c			FYPO:0000327
SPAC25B8.19c			FYPO:0007050
SPAC26F1.13c			FYPO:0001407
SPAC1F12.09			FYPO:0000310
SPAC1F12.09			FYPO:0002151
SPAC1F12.09			FYPO:0002061
SPAC1F12.09			FYPO:0001098
SPAC1F12.09			FYPO:0001701
SPAC1F12.09			FYPO:0000085
SPAC1F12.09			FYPO:0000088
SPAC1F12.09			FYPO:0000091
SPAC1F12.09			FYPO:0000647
SPCC18B5.11c			FYPO:0001164
SPAC18G6.15			FYPO:0001383
SPAC18G6.15			FYPO:0007114
SPAC18G6.15			FYPO:0004367
SPAC18G6.15			FYPO:0002085
SPAC31G5.12c			FYPO:0001838
SPAC31G5.12c			FYPO:0001309
SPCC1322.12c			FYPO:0006424
SPCC1322.12c			FYPO:0007663
SPCC1322.12c			FYPO:0007662
SPCC1322.12c			FYPO:0007688
SPCC1322.12c			FYPO:0000227
SPCC1322.12c			FYPO:0000581
SPCC1322.12c			FYPO:0005634
SPCC1322.12c			FYPO:0000228
SPCC1322.12c			FYPO:0007661
SPCC1322.12c			FYPO:0005648
SPNCRNA.412			FYPO:0001214
SPBC13G1.02			FYPO:0003625
SPBC13G1.02			FYPO:0001407
SPBC13G1.02			FYPO:0000636
SPBC13G1.02			FYPO:0000825
SPBC13G1.02			FYPO:0000245
SPBC13G1.02			FYPO:0001909
SPBC13G1.02			FYPO:0000106
SPBC13G1.02			FYPO:0001457
SPBC13G1.02			FYPO:0002060
SPBC13G1.02			FYPO:0002177
SPBC14C8.07c			FYPO:0000611
SPBC14C8.07c			FYPO:0000444
SPBC14C8.07c			FYPO:0003165
SPBC14C8.07c			FYPO:0001128
SPBC14C8.07c			FYPO:0001490
SPBC14C8.07c			FYPO:0002061
SPBC1778.02			FYPO:0000478
SPBC1778.02			FYPO:0004093
